ID;period_first_selected;selected_for_201804;size_band;size;newly_selected_month
165;201804;Y;6;05-Sep;Apr
166;201804;Y;1;0-4;Apr
167;201804;Y;1;0-4;Apr
168;201804;Y;1;0-4;Apr
169;201801;Y;7;Oct-19;Jan
170;201804;Y;1;0-4;Apr
171;201804;Y;1;0-4;Apr
172;201803;Y;1;0-4;Mar
173;201802;Y;6;05-Sep;Feb
174;201801;Y;6;05-Sep;Jan
175;201801;Y;6;05-Sep;Jan
176;201804;Y;6;05-Sep;Apr
177;201802;Y;1;0-4;Feb
178;201801;Y;1;0-4;Jan
179;201801;Y;1;0-4;Jan
180;201803;Y;6;05-Sep;Mar
181;201803;Y;1;0-4;Mar
182;201802;Y;6;05-Sep;Feb
183;201803;Y;6;05-Sep;Mar
184;201801;Y;1;0-4;Jan
185;201802;Y;1;0-4;Feb
186;201802;Y;1;0-4;Feb
187;201803;Y;1;0-4;Mar
188;201804;Y;1;0-4;Apr
189;201802;Y;1;0-4;Feb
190;201801;Y;1;0-4;Jan
191;201801;Y;6;05-Sep;Jan
192;201801;Y;6;05-Sep;Jan
193;201804;Y;6;05-Sep;Apr
194;201803;Y;1;0-4;Mar
195;201801;Y;1;0-4;Jan
196;201804;Y;6;05-Sep;Apr
197;201803;Y;1;0-4;Mar
198;201802;Y;7;Oct-19;Feb
199;201804;Y;1;0-4;Apr
200;201802;Y;6;05-Sep;Feb
201;201802;Y;6;05-Sep;Feb
202;201804;Y;6;05-Sep;Apr
203;201802;Y;6;05-Sep;Feb
204;201804;Y;6;05-Sep;Apr
205;201802;Y;6;05-Sep;Feb
206;201803;Y;6;05-Sep;Mar
207;201804;Y;1;0-4;Apr
208;201802;Y;6;05-Sep;Feb
209;201802;Y;1;0-4;Feb
210;201804;Y;1;0-4;Apr
211;201803;Y;6;05-Sep;Mar
212;201804;Y;1;0-4;Apr
213;201803;Y;1;0-4;Mar
214;201804;Y;1;0-4;Apr
215;201802;Y;1;0-4;Feb
216;201801;Y;6;05-Sep;Jan
217;201801;Y;6;05-Sep;Jan
218;201803;Y;1;0-4;Mar
219;201804;Y;7;Oct-19;Apr
220;201803;Y;6;05-Sep;Mar
221;201804;Y;6;05-Sep;Apr
222;201803;Y;6;05-Sep;Mar
223;201802;Y;6;05-Sep;Feb
224;201803;Y;6;05-Sep;Mar
225;201803;Y;7;Oct-19;Mar
226;201803;Y;7;Oct-19;Mar
227;201804;Y;1;0-4;Apr
228;201802;Y;1;0-4;Feb
229;201801;Y;6;05-Sep;Jan
230;201801;Y;1;0-4;Jan
231;201803;Y;1;0-4;Mar
232;201803;Y;7;Oct-19;Mar
233;201804;Y;7;Oct-19;Apr
234;201802;Y;1;0-4;Feb
235;201804;Y;1;0-4;Apr
236;201803;Y;6;05-Sep;Mar
237;201803;Y;6;05-Sep;Mar
238;201804;Y;1;0-4;Apr
239;201804;Y;1;0-4;Apr
240;201804;Y;6;05-Sep;Apr
241;201804;Y;6;05-Sep;Apr
242;201804;Y;1;0-4;Apr
243;201804;Y;7;Oct-19;Apr
244;201803;Y;6;05-Sep;Mar
245;201801;Y;6;05-Sep;Jan
246;201803;Y;6;05-Sep;Mar
247;201803;Y;6;05-Sep;Mar
248;201804;Y;1;0-4;Apr
249;201804;Y;6;05-Sep;Apr
250;201802;Y;1;0-4;Feb
251;201801;Y;1;0-4;Jan
252;201801;Y;6;05-Sep;Jan
253;201803;Y;6;05-Sep;Mar
254;201803;Y;1;0-4;Mar
255;201802;Y;6;05-Sep;Feb
256;201804;Y;1;0-4;Apr
257;201801;Y;1;0-4;Jan
258;201801;Y;7;Oct-19;Jan
259;201802;Y;1;0-4;Feb
260;201802;Y;7;Oct-19;Feb
261;201803;Y;1;0-4;Mar
262;201802;Y;6;05-Sep;Feb
263;201804;Y;6;05-Sep;Apr
264;201804;Y;1;0-4;Apr
265;201804;Y;1;0-4;Apr
266;201803;Y;1;0-4;Mar
267;201804;Y;6;05-Sep;Apr
268;201804;Y;1;0-4;Apr
269;201802;Y;6;05-Sep;Feb
270;201801;Y;1;0-4;Jan
271;201802;Y;1;0-4;Feb
272;201803;Y;1;0-4;Mar
273;201802;Y;6;05-Sep;Feb
274;201803;Y;1;0-4;Mar
275;201801;Y;6;05-Sep;Jan
276;201801;Y;6;05-Sep;Jan
277;201804;Y;1;0-4;Apr
278;201802;Y;6;05-Sep;Feb
279;201803;Y;6;05-Sep;Mar
280;201803;Y;6;05-Sep;Mar
281;201802;Y;1;0-4;Feb
282;201801;Y;6;05-Sep;Jan
283;201802;Y;1;0-4;Feb
284;201803;Y;6;05-Sep;Mar
285;201804;Y;7;Oct-19;Apr
286;201802;Y;6;05-Sep;Feb
287;201801;Y;6;05-Sep;Jan
288;201802;Y;1;0-4;Feb
289;201801;Y;7;Oct-19;Jan
290;201802;Y;1;0-4;Feb
291;201802;Y;1;0-4;Feb
292;201801;Y;6;05-Sep;Jan
293;201802;Y;6;05-Sep;Feb
294;201802;Y;1;0-4;Feb
295;201804;Y;6;05-Sep;Apr
296;201803;Y;1;0-4;Mar
297;201803;Y;7;Oct-19;Mar
298;201803;Y;7;Oct-19;Mar
299;201803;Y;6;05-Sep;Mar
300;201801;Y;6;05-Sep;Jan
301;201801;Y;6;05-Sep;Jan
302;201802;Y;1;0-4;Feb
303;201804;Y;1;0-4;Apr
304;201801;Y;1;0-4;Jan
305;201801;Y;1;0-4;Jan
306;201803;Y;7;Oct-19;Mar
307;201802;Y;7;Oct-19;Feb
308;201801;Y;7;Oct-19;Jan
309;201803;Y;6;05-Sep;Mar
310;201803;Y;6;05-Sep;Mar
311;201803;Y;1;0-4;Mar
312;201803;Y;6;05-Sep;Mar
313;201801;Y;1;0-4;Jan
314;201804;Y;6;05-Sep;Apr
315;201801;Y;6;05-Sep;Jan
316;201803;Y;1;0-4;Mar
317;201804;Y;6;05-Sep;Apr
318;201802;Y;6;05-Sep;Feb
319;201801;Y;6;05-Sep;Jan
320;201804;Y;6;05-Sep;Apr
321;201802;Y;6;05-Sep;Feb
322;201804;Y;1;0-4;Apr
323;201804;Y;7;Oct-19;Apr
324;201802;Y;6;05-Sep;Feb
325;201804;Y;6;05-Sep;Apr
326;201804;Y;1;0-4;Apr
327;201801;Y;6;05-Sep;Jan
328;201802;Y;7;Oct-19;Feb
329;201804;Y;6;05-Sep;Apr
330;201804;Y;6;05-Sep;Apr
331;201804;Y;1;0-4;Apr
332;201801;Y;7;Oct-19;Jan
333;201803;Y;1;0-4;Mar
334;201801;Y;1;0-4;Jan
335;201802;Y;1;0-4;Feb
336;201804;Y;7;Oct-19;Apr
337;201801;Y;1;0-4;Jan
338;201802;Y;1;0-4;Feb
339;201803;Y;1;0-4;Mar
340;201802;Y;1;0-4;Feb
341;201801;Y;6;05-Sep;Jan
342;201802;Y;1;0-4;Feb
343;201801;Y;1;0-4;Jan
344;201802;Y;1;0-4;Feb
345;201802;Y;1;0-4;Feb
346;201803;Y;7;Oct-19;Mar
347;201804;Y;1;0-4;Apr
348;201801;Y;6;05-Sep;Jan
349;201803;Y;6;05-Sep;Mar
350;201804;Y;6;05-Sep;Apr
351;201803;Y;7;Oct-19;Mar
352;201804;Y;1;0-4;Apr
353;201801;Y;1;0-4;Jan
354;201802;Y;6;05-Sep;Feb
355;201802;Y;6;05-Sep;Feb
356;201802;Y;6;05-Sep;Feb
357;201803;Y;6;05-Sep;Mar
358;201802;Y;1;0-4;Feb
359;201803;Y;6;05-Sep;Mar
360;201801;Y;7;Oct-19;Jan
361;201804;Y;7;Oct-19;Apr
362;201801;Y;1;0-4;Jan
363;201803;Y;1;0-4;Mar
364;201802;Y;1;0-4;Feb
365;201804;Y;1;0-4;Apr
366;201801;Y;6;05-Sep;Jan
367;201804;Y;1;0-4;Apr
368;201801;Y;6;05-Sep;Jan
